C-3PO,R2-D2,17
LUKE,R2-D2,13
OBI-WAN,R2-D2,6
LEIA,R2-D2,5
HAN,R2-D2,5
CHEWBACCA,R2-D2,3
DODONNA,R2-D2,1
CHEWBACCA,OBI-WAN,7
C-3PO,CHEWBACCA,5
CHEWBACCA,LUKE,16
CHEWBACCA,HAN,19
CHEWBACCA,LEIA,11
CHEWBACCA,DARTH VADER,1
CHEWBACCA,DODONNA,1
CAMIE,LUKE,2
BIGGS,CAMIE,2
BIGGS,LUKE,4
DARTH VADER,LEIA,1
BERU,LUKE,3
BERU,OWEN,3
BERU,C-3PO,2
LUKE,OWEN,3
C-3PO,LUKE,18
C-3PO,OWEN,2
C-3PO,LEIA,6
LEIA,LUKE,17
BERU,LEIA,1
LUKE,OBI-WAN,19
C-3PO,OBI-WAN,6
LEIA,OBI-WAN,1
MOTTI,TARKIN,2
DARTH VADER,MOTTI,1
DARTH VADER,TARKIN,7
HAN,OBI-WAN,9
HAN,LUKE,26
GREEDO,HAN,1
HAN,JABBA,1
C-3PO,HAN,6
LEIA,MOTTI,1
LEIA,TARKIN,1
HAN,LEIA,13
DARTH VADER,OBI-WAN,1
DODONNA,GOLD LEADER,1
DODONNA,WEDGE,1
DODONNA,LUKE,1
GOLD LEADER,WEDGE,1
GOLD LEADER,LUKE,1
LUKE,WEDGE,2
BIGGS,LEIA,1
LEIA,RED LEADER,1
LUKE,RED LEADER,3
BIGGS,RED LEADER,3
BIGGS,C-3PO,1
C-3PO,RED LEADER,1
RED LEADER,WEDGE,3
GOLD LEADER,RED LEADER,1
BIGGS,WEDGE,2
RED LEADER,RED TEN,1
BIGGS,GOLD LEADER,1
LUKE,RED TEN,1
