DATE,DDEM01USA156NWDB
1975-01-01,19.505679999999998
1976-01-01,19.62643
1977-01-01,19.88329
1978-01-01,26.20119
1979-01-01,27.36045
1980-01-01,30.138009999999998
1981-01-01,32.90385
1982-01-01,34.879259999999995
1983-01-01,44.06344
1984-01-01,69.18292
1985-01-01,63.83631999999999
1986-01-01,85.96412
1987-01-01,113.6346
1988-01-01,70.68861
1989-01-01,69.2315
1990-01-01,65.69033
1991-01-01,51.44352
1992-01-01,55.66511
1993-01-01,65.40393
1994-01-01,71.01846
1995-01-01,74.49096
1996-01-01,82.13547
1997-01-01,86.02993000000001
1998-01-01,95.22276
1999-01-01,127.3278
2000-01-01,197.1309
2001-01-01,149.3427
2002-01-01,154.2627
2003-01-01,112.4687
2004-01-01,117.0267
2005-01-01,151.7111
2006-01-01,156.2769
2007-01-01,215.0988
2008-01-01,407.6304
2009-01-01,227.5368
2010-01-01,208.4386
2011-01-01,262.4277
2012-01-01,173.2852
2013-01-01,138.3293
2014-01-01,148.028
2015-01-01,165.1478
2016-01-01,153.8133
2017-01-01,123.8637
2018-01-01,108.5126
2019-01-01,68.43193000000001
